lat,lon
16.155405437,108.2491477958
16.155405437,108.2494306831
16.1551400596,108.2480162465
16.1551400596,108.2482991338
16.1551400596,108.2485820211
16.1551400596,108.2488649084
16.1551400596,108.2491477958
16.1551400596,108.2494306831
16.1551400596,108.2497135704
16.1548746823,108.2474504718
16.1548746823,108.2477333591
16.1548746823,108.2480162465
16.1548746823,108.2482991338
16.1548746823,108.2485820211
16.1548746823,108.2488649084
16.1548746823,108.2491477958
16.1548746823,108.2494306831
16.1548746823,108.2497135704
16.1548746823,108.2499964577
16.1546093049,108.2471675845
16.1546093049,108.2474504718
16.1546093049,108.2477333591
16.1546093049,108.2480162465
16.1546093049,108.2482991338
16.1546093049,108.2485820211
16.1546093049,108.2488649084
16.1546093049,108.2491477958
16.1546093049,108.2494306831
16.1546093049,108.2497135704
16.1546093049,108.2499964577
16.1546093049,108.2502793451
16.1546093049,108.2505622324
16.1546093049,108.2508451197
16.1546093049,108.251128007
16.1543439276,108.2466018098
16.1543439276,108.2468846972
16.1543439276,108.2471675845
16.1543439276,108.2474504718
16.1543439276,108.2477333591
16.1543439276,108.2480162465
16.1543439276,108.2482991338
16.1543439276,108.2485820211
16.1543439276,108.2488649084
16.1543439276,108.2491477958
16.1543439276,108.2494306831
16.1543439276,108.2497135704
16.1543439276,108.2499964577
16.1543439276,108.2502793451
16.1543439276,108.2505622324
16.1543439276,108.2508451197
16.1543439276,108.251128007
16.1543439276,108.2514108944
16.1543439276,108.2516937817
16.1543439276,108.251976669
16.1543439276,108.2522595563
16.1543439276,108.2525424437
16.1543439276,108.252825331
16.1543439276,108.2531082183
16.1543439276,108.2533911056
16.1543439276,108.253673993
16.1540785502,108.2460360352
16.1540785502,108.2463189225
16.1540785502,108.2466018098
16.1540785502,108.2468846972
16.1540785502,108.2471675845
16.1540785502,108.2474504718
16.1540785502,108.2477333591
16.1540785502,108.2480162465
16.1540785502,108.2482991338
16.1540785502,108.2485820211
16.1540785502,108.2488649084
16.1540785502,108.2491477958
16.1540785502,108.2494306831
16.1540785502,108.2497135704
16.1540785502,108.2499964577
16.1540785502,108.2502793451
16.1540785502,108.2505622324
16.1540785502,108.2508451197
16.1540785502,108.251128007
16.1540785502,108.2514108944
16.1540785502,108.2516937817
16.1540785502,108.251976669
16.1540785502,108.2522595563
16.1540785502,108.2525424437
16.1540785502,108.252825331
16.1540785502,108.2531082183
16.1540785502,108.2533911056
16.1540785502,108.253673993
16.1540785502,108.2539568803
16.1540785502,108.2542397676
16.1538131729,108.2457531479
16.1538131729,108.2460360352
16.1538131729,108.2463189225
16.1538131729,108.2466018098
16.1538131729,108.2468846972
16.1538131729,108.2471675845
16.1538131729,108.2474504718
16.1538131729,108.2477333591
16.1538131729,108.2480162465
